State_Index,State_SGF,Solo,Grupo,Fermo,N_Transitions,N_Events,Event_Rate,Mean_Duration,Empirical_Hazard_Rate
29,"(6, 4, 2)",6,4,2,206,206,1.0,7.165048543689321,0.13956639566395665
77,"(3, 1, 8)",3,1,8,185,185,1.0,9.556756756756757,0.10463800904977376
75,"(0, 5, 7)",0,5,7,174,174,1.0,10.494252873563218,0.09529025191675794
48,"(6, 2, 4)",6,2,4,163,163,1.0,8.269938650306749,0.12091988130563798
44,"(1, 8, 3)",1,8,3,156,156,1.0,7.0256410256410255,0.14233576642335766
33,"(2, 8, 2)",2,8,2,156,155,0.9935897435897436,7.371794871794871,0.13478260869565217
71,"(4, 1, 7)",4,1,7,155,155,1.0,8.348387096774193,0.11978361669242658
83,"(1, 2, 9)",1,2,9,150,150,1.0,9.746666666666666,0.10259917920656635
64,"(5, 1, 6)",5,1,6,149,149,1.0,8.335570469798657,0.11996779388083736
38,"(7, 2, 3)",7,2,3,145,145,1.0,7.696551724137931,0.12992831541218638
28,"(7, 3, 2)",7,3,2,141,141,1.0,10.184397163120567,0.09818941504178273
62,"(0, 7, 5)",0,7,5,141,141,1.0,12.46808510638298,0.08020477815699659
82,"(2, 1, 9)",2,1,9,104,104,1.0,7.6923076923076925,0.13
20,"(4, 7, 1)",4,7,1,101,101,1.0,8.099009900990099,0.1234718826405868
19,"(5, 6, 1)",5,6,1,97,97,1.0,12.329896907216495,0.08110367892976589
21,"(3, 8, 1)",3,8,1,94,94,1.0,11.446808510638299,0.08736059479553904
27,"(8, 2, 2)",8,2,2,93,93,1.0,8.688172043010752,0.1150990099009901
56,"(6, 1, 5)",6,1,5,91,91,1.0,10.857142857142858,0.09210526315789473
18,"(6, 5, 1)",6,5,1,84,84,1.0,8.285714285714286,0.1206896551724138
54,"(0, 8, 4)",0,8,4,81,81,1.0,10.395061728395062,0.09619952494061758
17,"(7, 4, 1)",7,4,1,79,79,1.0,5.924050632911392,0.16880341880341881
80,"(0, 4, 8)",0,4,8,78,78,1.0,10.076923076923077,0.09923664122137404
16,"(8, 3, 1)",8,3,1,77,77,1.0,6.857142857142857,0.14583333333333334
47,"(7, 1, 4)",7,1,4,70,70,1.0,12.914285714285715,0.07743362831858407
34,"(1, 9, 2)",1,9,2,61,61,1.0,6.163934426229508,0.1622340425531915
15,"(9, 2, 1)",9,2,1,58,58,1.0,11.172413793103448,0.08950617283950617
22,"(2, 9, 1)",2,9,1,55,55,1.0,10.072727272727272,0.09927797833935018
86,"(1, 1, 10)",1,1,10,46,46,1.0,7.521739130434782,0.1329479768786127
37,"(8, 1, 3)",8,1,3,46,46,1.0,7.434782608695652,0.13450292397660818
1,"(11, 1, 0)",11,1,0,45,45,1.0,16.933333333333334,0.05905511811023622
84,"(0, 3, 9)",0,3,9,45,45,1.0,8.666666666666666,0.11538461538461539
3,"(9, 3, 0)",9,3,0,40,40,1.0,9.7,0.10309278350515463
14,"(10, 1, 1)",10,1,1,37,37,1.0,11.513513513513514,0.08685446009389672
2,"(10, 2, 0)",10,2,0,37,37,1.0,12.81081081081081,0.07805907172995781
45,"(0, 9, 3)",0,9,3,33,33,1.0,4.242424242424242,0.2357142857142857
63,"(6, 0, 6)",6,0,6,32,32,1.0,10.9375,0.09142857142857143
81,"(3, 0, 9)",3,0,9,29,29,1.0,10.482758620689655,0.09539473684210527
0,"(12, 0, 0)",12,0,0,29,29,1.0,9.03448275862069,0.11068702290076336
26,"(9, 1, 2)",9,1,2,29,29,1.0,10.827586206896552,0.09235668789808917
7,"(5, 7, 0)",5,7,0,26,26,1.0,7.6923076923076925,0.13
76,"(4, 0, 8)",4,0,8,25,25,1.0,9.2,0.10869565217391304
6,"(6, 6, 0)",6,6,0,25,25,1.0,6.48,0.15432098765432098
4,"(8, 4, 0)",8,4,0,25,25,1.0,8.72,0.11467889908256881
5,"(7, 5, 0)",7,5,0,23,23,1.0,5.391304347826087,0.18548387096774194
87,"(0, 2, 10)",0,2,10,23,23,1.0,13.304347826086957,0.07516339869281045
70,"(5, 0, 7)",5,0,7,22,22,1.0,11.181818181818182,0.08943089430894309
9,"(3, 9, 0)",3,9,0,20,20,1.0,11.6,0.08620689655172414
8,"(4, 8, 0)",4,8,0,18,18,1.0,10.555555555555555,0.09473684210526316
85,"(2, 0, 10)",2,0,10,16,16,1.0,11.75,0.0851063829787234
55,"(7, 0, 5)",7,0,5,14,14,1.0,7.714285714285714,0.12962962962962962
23,"(1, 10, 1)",1,10,1,13,13,1.0,3.076923076923077,0.325
13,"(11, 0, 1)",11,0,1,13,13,1.0,14.461538461538462,0.06914893617021277
10,"(2, 10, 0)",2,10,0,12,12,1.0,20.833333333333332,0.048
88,"(1, 0, 11)",1,0,11,10,10,1.0,9.0,0.1111111111111111
